# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
# INDEX       RADIUS [RP]          PRESSURE        SIGMA1_LOG      SIGMA1_TSANG
    248   0.978123419E+00   0.203606279E+11   0.645563192E+12   0.533505459E+08
    249   0.977720461E+00   0.212903605E+11   0.663785084E+12   0.597903968E+08
    250   0.977308857E+00   0.222618080E+11   0.682929091E+12   0.671664047E+08
    251   0.976888391E+00   0.232768072E+11   0.703055451E+12   0.756352898E+08
    252   0.976458846E+00   0.243372745E+11   0.724229058E+12   0.853831928E+08
    253   0.976019998E+00   0.254452083E+11   0.746519883E+12   0.966317645E+08
    254   0.975571622E+00   0.266026934E+11   0.770003434E+12   0.109645629E+09
    255   0.975113487E+00   0.278119037E+11   0.794761300E+12   0.124741568E+09
    256   0.974645356E+00   0.290751064E+11   0.820881796E+12   0.142299891E+09
    257   0.974166987E+00   0.303946659E+11   0.848460653E+12   0.162778476E+09
    258   0.973678128E+00   0.317730476E+11   0.877601759E+12   0.186730203E+09
    259   0.973178520E+00   0.332128224E+11   0.908418001E+12   0.214824644E+09
    260   0.972667895E+00   0.347166715E+11   0.941032157E+12   0.247875122E+09
    261   0.972145979E+00   0.362873903E+11   0.975577865E+12   0.286872543E+09
    262   0.971612489E+00   0.379278938E+11   0.101220071E+13   0.333027885E+09
    263   0.971067135E+00   0.396412213E+11   0.105105946E+13   0.387825701E+09
    264   0.970509617E+00   0.414305414E+11   0.109232738E+13   0.453091706E+09
    265   0.969939630E+00   0.432991576E+11   0.113619379E+13   0.531078352E+09
    266   0.969356864E+00   0.452505136E+11   0.118286560E+13   0.624573551E+09
    267   0.968761000E+00   0.472881992E+11   0.123256926E+13   0.737039301E+09
    268   0.968151713E+00   0.494159559E+11   0.128555280E+13   0.872788997E+09
    269   0.967528676E+00   0.516376840E+11   0.134208817E+13   0.103721494E+10
    270   0.966891551E+00   0.539574488E+11   0.140247394E+13   0.123708154E+10
    271   0.966239994E+00   0.563794874E+11   0.146703847E+13   0.148090449E+10
    272   0.965573653E+00   0.589082165E+11   0.153614325E+13   0.177944214E+10
    273   0.964892169E+00   0.615482397E+11   0.161018679E+13   0.214633488E+10
    274   0.964195170E+00   0.643043555E+11   0.168960897E+13   0.259893998E+10
    275   0.963482281E+00   0.671815657E+11   0.177489595E+13   0.315942511E+10
    276   0.962753113E+00   0.701850833E+11   0.186658572E+13   0.385620585E+10
    277   0.962007270E+00   0.733203420E+11   0.196527446E+13   0.472584224E+10
    278   0.961244348E+00   0.765930051E+11   0.207162378E+13   0.581554937E+10
    279   0.960463929E+00   0.800089746E+11   0.218636890E+13   0.718653215E+10
    280   0.959665589E+00   0.835744008E+11   0.231032800E+13   0.891842810E+10
    281   0.958848893E+00   0.872956927E+11   0.244441263E+13   0.111152452E+11
    282   0.958013398E+00   0.911795277E+11   0.258963983E+13   0.139133268E+11
    283   0.957158652E+00   0.952328628E+11   0.274714608E+13   0.174920686E+11
    284   0.956284193E+00   0.994629453E+11   0.291820319E+13   0.220883814E+11
    285   0.955389550E+00   0.103877325E+12   0.310423661E+13   0.280162654E+11
    286   0.954474243E+00   0.108483865E+12   0.330684640E+13   0.356933750E+11
    287   0.953537783E+00   0.113290756E+12   0.352783146E+13   0.456771642E+11
    288   0.952579671E+00   0.118306528E+12   0.376921751E+13   0.587141849E+11
    289   0.951599398E+00   0.123540065E+12   0.403328942E+13   0.758074651E+11
    290   0.950596446E+00   0.129000618E+12   0.432262873E+13   0.983087619E+11
    291   0.949570288E+00   0.134697822E+12   0.464015697E+13   0.128045037E+12
    292   0.948520388E+00   0.140641708E+12   0.498918598E+13   0.167492013E+12
    293   0.947446199E+00   0.146842723E+12   0.537347659E+13   0.220012480E+12
    294   0.946347167E+00   0.153311743E+12   0.579730704E+13   0.290183423E+12
    295   0.945222730E+00   0.160060093E+12   0.626555300E+13   0.384244736E+12
    296   0.944072316E+00   0.167099560E+12   0.678378129E+13   0.510713697E+12
    297   0.942895341E+00   0.174442420E+12   0.735836078E+13   0.681224501E+12
    298   0.941691212E+00   0.182101449E+12   0.799659248E+13   0.911670815E+12
    299   0.940459321E+00   0.190089949E+12   0.870686254E+13   0.122375274E+13
    300   0.939199051E+00   0.198421768E+12   0.949882291E+13   0.164705745E+13
    301   0.937909772E+00   0.207111319E+12   0.103836052E+14   0.222183333E+13
    302   0.936590843E+00   0.216173602E+12   0.113740739E+14   0.300264849E+13
    303   0.935241611E+00   0.225624223E+12   0.124851278E+14   0.406314877E+13
    304   0.933861414E+00   0.235479417E+12   0.137340588E+14   0.550213888E+13
