# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
#      INDEX          RADIUS [RP]            PRESSURE [cgs]               SIGMA [cgs]
          67  0.97965294000000003        17024704600.000000        34593020.399999999     
          68  0.97928250200000000        17804471700.000000        38423613.399999999     
          69  0.97890423500000001        18619336300.000000        42770569.000000000     
          70  0.97851794100000000        19470849100.000000        47714574.899999999     
          71  0.97812341899999999        20360627900.000000        53350545.899999999     
          72  0.97772046099999999        21290360500.000000        59790396.799999997     
          73  0.97730885700000003        22261808000.000000        67166404.700000003     
          74  0.97688839100000002        23276807200.000000        75635289.799999997     
          75  0.97645884599999999        24337274500.000000        85383192.799999997     
          76  0.97601999800000006        25445208300.000000        96631764.500000000     
          77  0.97557162200000003        26602693400.000000        109645629.00000000     
          78  0.97511348700000000        27811903700.000000        124741568.00000000     
          79  0.97464535600000002        29075106400.000000        142299891.00000000     
          80  0.97416698700000004        30394665900.000000        162778476.00000000     
          81  0.97367812799999998        31773047600.000000        186730203.00000000     
          82  0.97317852000000005        33212822400.000000        214824644.00000000     
          83  0.97266789499999995        34716671500.000000        247875122.00000000     
          84  0.97214597899999999        36287390300.000000        286872543.00000000     
          85  0.97161248899999997        37927893800.000000        333027885.00000000     
          86  0.97106713499999997        39641221300.000000        387825701.00000000     
          87  0.97050961700000005        41430541400.000000        453091706.00000000     
          88  0.96993963000000005        43299157600.000000        531078352.00000000     
          89  0.96935686399999998        45250513600.000000        624573551.00000000     
          90  0.96876099999999998        47288199200.000000        737039301.00000000     
          91  0.96815171300000002        49415955900.000000        872788997.00000000     
          92  0.96752867600000003        51637684000.000000        1037214940.0000000     
          93  0.96689155100000002        53957448800.000000        1237081540.0000000     
          94  0.96623999400000005        56379487400.000000        1480904490.0000000     
          95  0.96557365299999998        58908216500.000000        1779442140.0000000     
          96  0.96489216899999997        61548239700.000000        2146334880.0000000     
          97  0.96419516999999999        64304355500.000000        2598939980.0000000     
          98  0.96348228100000000        67181565700.000000        3159425110.0000000     
          99  0.96275311299999999        70185083300.000000        3856205850.0000000     
         100  0.96200726999999997        73320342000.000000        4725842240.0000000     
         101  0.96124434800000003        76593005100.000000        5815549370.0000000     
         102  0.96046392899999999        80008974600.000000        7186532150.0000000     
         103  0.95966558899999999        83574400800.000000        8918428100.0000000     
         104  0.95884889299999998        87295692700.000000        11115245200.000000     
         105  0.95801339799999996        91179527700.000000        13913326800.000000     
         106  0.95715865200000005        95232862800.000000        17492068600.000000     
         107  0.95628419300000000        99462945300.000000        22088381400.000000     
         108  0.95538955000000003        103877325000.00000        28016265400.000000     
         109  0.95447424300000006        108483865000.00000        35693375000.000000     
         110  0.95353778300000003        113290756000.00000        45677164200.000000     
         111  0.95257967099999996        118306528000.00000        58714184900.000000     
         112  0.95159939800000004        123540065000.00000        75807465100.000000     
         113  0.95059644600000004        129000618000.00000        98308761900.000000     
         114  0.94957028799999998        134697822000.00000        128045037000.00000     
         115  0.94852038800000005        140641708000.00000        167492013000.00000     
         116  0.94744619900000004        146842723000.00000        220012480000.00000     
         117  0.94634716699999999        153311743000.00000        290183423000.00000     
         118  0.94522273000000001        160060093000.00000        384244736000.00000     
         119  0.94407231599999997        167099560000.00000        510713697000.00000     
         120  0.94289534100000005        174442420000.00000        681224501000.00000     
         121  0.94169121200000006        182101449000.00000        911670815000.00000     
         122  0.94045932099999996        190089949000.00000        1223752740000.0000     
         123  0.93919905100000001        198421768000.00000        1647057450000.0000     
         124  0.93790977200000003        207111319000.00000        2221833330000.0000     
         125  0.93659084299999995        216173602000.00000        3002648490000.0000     
         126  0.93524161100000003        225624223000.00000        4063148770000.0000     
         127  0.93386141400000000        235479417000.00000        5502138880000.0000     
         128  0.93244957799999995        245756069000.00000        7451185640000.0000     
         129  0.93100541900000000        256471739000.00000        10083864000000.000     
         130  0.92952824199999995        267644693000.00000        13626604500000.000     
